"nflId","height","weight","birthDate","collegeName","position","displayName"
41239,"6-1",280,"1991-05-23","Pittsburgh","DT","Aaron Donald"
41240,"5-11",194,"1992-02-16","Virginia Tech","CB","Kyle Fuller"
41242,"6-4",315,"1990-11-20","Notre Dame","G","Zack Martin"
41243,"6-2",250,"1992-06-19","Alabama","ILB","C.J. Mosley"
41245,"6-6",312,"1992-06-03","Tennessee","T","Ja'Wuan James"
41246,"5-10",183,"1993-09-25","Oregon State","WR","Brandin Cooks"
41256,"5-11",193,"1991-07-18","Northern Illinois","FS","Jimmie Ward"
41257,"5-11",194,"1992-05-01","Ohio State","CB","Bradley Roby"
41258,"6-2",215,"1992-11-10","Louisville","QB","Teddy Bridgewater"
41263,"6-3",265,"1992-04-28","Boise State","DE","Demarcus Lawrence"
41264,"6-4",320,"1991-10-11","Nevada","G","Joel Bitonio"
41265,"6-3",210,"1991-03-28","Fresno State","QB","Derek Carr"
41269,"6-3",250,"1991-03-26","Brigham Young","OLB","Kyle Van Noy"
41270,"5-8",185,"1990-11-27","Florida State","SS","Lamarcus Joyner"
41279,"6-3",252,"1993-01-17","Georgia Tech","OLB","Jeremiah Attaochu"
41282,"6-1",215,"1992-12-24","Fresno State","WR","Davante Adams"
41290,"6-2",220,"1993-08-24","Penn State","WR","Allen Robinson"
41291,"6-2",225,"1991-11-02","Eastern Illinois","QB","Jimmy Garoppolo"
41292,"5-11",196,"1992-11-28","Louisiana State","WR","Jarvis Landry"
41293,"6-6",315,"1991-05-29","Missouri","C","Justin Britt"
41295,"6-6",330,"1991-03-03","Virginia","T","Morgan Moses"
41296,"6-5",310,"1991-10-17","North Dakota State","T","Billy Turner"
41300,"6-2",235,"1992-08-31","Iowa","OLB","Christian Kirksey"
41310,"6-3",336,"1991-07-12","Mississippi State","G","Gabe Jackson"
41321,"6-3",315,"1993-06-14","Louisiana State","G","Trai Turner"
41324,"6-6",301,"1990-11-15","Michigan","G","Michael Schofield"
41325,"5-9",205,"1992-05-03","Georgia Southern","RB","Jerick McKinnon"
41327,"6-4",257,"1992-01-22","California","TE","Richard Rodgers"
41336,"6-2",350,"1990-12-27","Louisiana Tech","DT","Justin Ellis"
41341,"6-4",322,"1991-12-27","Penn State","DT","DaQuan Jones"
41349,"6-6",250,"1991-07-01","Virginia Tech","TE","Logan Thomas"
41358,"6-2",200,"1991-12-01","North Carolina State","CB","Dontae Johnson"
41361,"6-0",230,"1991-10-07","Boston College","OLB","Kevin Pierre-Louis"
41363,"6-7",300,"1991-05-05","Virginia","DE","Brent Urban"
41369,"6-6",320,"1992-09-03","Stanford","T","Cameron Fleming"
41390,"6-3",301,"1991-07-27","Ohio State","C","Corey Linsley"
41403,"6-3",256,"1991-06-24","Southern California","OLB","Devon Kennard"
41464,"6-2",290,"1991-08-11","Illinois State","DE","Shelby Harris"
41475,"6-3",305,"1991-10-09","Boise State","T","Charles Leno"
41483,"5-11",190,"1992-05-17","Oregon","CB","Terrance Mitchell"
41500,"5-11",205,"1992-10-17","Ball State","WR","Willie Snead"
41532,"6-5",310,"1991-12-17","North Carolina","T","James Hurst"
41563,"6-8",328,"1991-07-18","Kansas State","T","Cornelius Lucas"
41595,"6-4",332,"1991-05-09","Colorado State-Pueblo","NT","Mike Pennel"
41599,"6-1",232,"1991-05-06","South Carolina State","ILB","Joe Thomas"
41630,"6-3",317,"1992-05-31","Central Florida","C","Justin McCray"
41665,"6-3",310,"1991-05-05","Clemson","G","Tyler Shatley"
41667,"6-6",306,"1991-02-14","James Madison","T","Josh Wells"
41707,"6-4",325,"1991-07-08","Utah State","C","Tyler Larsen"
41712,"5-11",224,"1992-04-03","Oklahoma","RB","Damien Williams"
41786,"6-2",270,"1991-05-02","Texas Tech","DE","Kerry Hyder"
41808,"6-0",240,"1992-04-08","San Jose State","FB","Keith Smith"
41915,"6-2",250,"1992-11-17","Colorado State","OLB","Shaquil Barrett"
41939,"6-6",325,"1991-10-25","Ohio State","G","Andrew Norwell"
41947,"6-3",250,"1991-02-18","Florida State","ILB","Christian Jones"
41959,"6-6",330,"1992-07-07","Bloomsburg","G","Matt Feiler"
42030,"5-9",183,"1991-07-12","Pittsburgh","CB","K'Waun Williams"
42031,"6-5",285,"1990-07-15","Mississippi State","DE","Denico Autry"
42033,"6-5",245,"1991-07-03","Harvard","TE","Cameron Brate"
42116,"5-11",210,"1992-03-28","Texas","SS","Adrian Phillips"
42302,"6-6",255,"1992-04-10","Canisius","TE","Chris Manhertz"
42331,"6-6",265,"1992-04-13","No College","DE","Efe Obada"
42344,"6-4",231,"1994-01-06","Florida State","QB","Jameis Winston"
42345,"6-4",222,"1993-10-30","Oregon","QB","Marcus Mariota"
42346,"6-3",255,"1994-08-03","Florida","OLB","Dante Fowler"
42347,"6-1",211,"1994-06-17","Alabama","WR","Amari Cooper"
42348,"6-5",315,"1991-12-26","Iowa","G","Brandon Scherff"
42349,"6-5",302,"1994-06-20","Southern California","DT","Leonard Williams"
42350,"6-3",216,"1992-06-25","West Virginia","WR","Kevin White"
42356,"6-7",316,"1993-11-04","Stanford","G","Andrus Peat"
42357,"6-3",216,"1993-01-20","Louisville","WR","DeVante Parker"
42358,"6-1",215,"1993-04-13","Wisconsin","RB","Melvin Gordon"
42360,"6-7",292,"1993-11-15","Oregon","DT","Arik Armstead"
42361,"6-0",197,"1993-01-09","Washington","CB","Marcus Peters"
42362,"6-5",313,"1992-08-23","Florida State","T","Cameron Erving"
42363,"6-0",198,"1993-05-24","Southern California","WR","Nelson Agholor"
42364,"6-5",310,"1992-04-25","Texas A&amp;M","T","Cedric Ogbuehi"
42365,"6-4",269,"1993-02-12","Kentucky","OLB","Bud Dupree"
42367,"6-5",307,"1993-12-28","Florida","T","D.J. Humphries"
42368,"6-0",230,"1994-04-21","Washington","ILB","Shaq Thompson"
42369,"6-2",215,"1993-09-10","Central Florida","WR","Breshad Perriman"
42371,"6-3",312,"1992-02-09","Duke","G","Laken Tomlinson"
42372,"5-10",192,"1993-01-05","Miami","WR","Phillip Dorsett"
42376,"6-0",218,"1994-01-10","Alabama","SS","Landon Collins"
42377,"6-6",338,"1993-06-23","Penn State","T","Donovan Smith"
42378,"6-3",280,"1994-01-25","Florida State","DT","Mario Edwards"
42381,"6-5",265,"1992-11-17","Mississippi State","OLB","Preston Smith"
42388,"6-0",232,"1992-02-29","UCLA","ILB","Eric Kendricks"
42390,"6-1",205,"1992-10-03","Utah","SS","Eric Rowe"
42391,"5-11",240,"1992-12-05","Miami","ILB","Denzel Perryman"
42392,"6-6",305,"1992-04-21","Missouri","C","Mitch Morse"
42393,"5-11",193,"1994-01-02","Florida State","CB","Ronald Darby"
42395,"6-6",341,"1992-09-21","Oklahoma","DE","Jordan Phillips"
42397,"5-9",203,"1993-06-13","Nebraska","RB","Ameer Abdullah"
42398,"6-4",252,"1994-04-12","Minnesota","TE","Maxx Williams"
42400,"6-8",328,"1992-05-13","Wisconsin","T","Rob Havenstein"
42401,"6-3",260,"1991-03-13","Missouri","OLB","Markus Golden"
42403,"6-5",255,"1992-11-23","Nebraska","DE","Randy Gregory"
42406,"6-3",260,"1993-06-14","Michigan","DE","Frank Clark"
42410,"6-3",325,"1991-10-03","South Carolina","G","A.J. Cann"
42412,"5-10",182,"1992-09-28","Kansas State","WR","Tyler Lockett"
42416,"6-1",210,"1993-04-16","Indiana","RB","Tevin Coleman"
42419,"6-3",205,"1992-10-25","Georgia","WR","Chris Conley"
42421,"6-0",196,"1993-06-01","Florida State","CB","P.J. Williams"
42427,"6-1",236,"1992-06-27","Texas","ILB","Jordan Hicks"
42428,"6-6",250,"1992-10-15","Rutgers","TE","Tyler Kroft"
42431,"6-5",252,"1994-10-29","Louisiana State","OLB","Danielle Hunter"
42433,"6-5",320,"1992-03-02","Iowa","NT","Carl Davis"
42436,"6-6",301,"1991-08-03","Stanford","DE","Henry Anderson"
42437,"6-0",216,"1993-01-22","Stanford","WR","Ty Montgomery"
42441,"5-11",194,"1993-01-22","Oregon State","CB","Steven Nelson"
42443,"6-4",318,"1992-11-14","Auburn","DT","Angelo Blackson"
42444,"6-2",265,"1993-08-16","Arkansas","OLB","Trey Flowers"
42448,"5-9",177,"1993-06-17","Duke","WR","Jamison Crowder"
42465,"6-4",272,"1992-09-08","Kentucky","OLB","Za'Darius Smith"
42467,"6-1",227,"1994-08-03","Louisiana State","OLB","Kwon Alexander"
42469,"5-9",221,"1993-02-19","South Carolina","RB","Mike Davis"
42470,"6-0",243,"1993-05-28","Minnesota","MLB","Damien Wilson"
42471,"6-4",323,"1992-02-10","Miami","C","Jon Feliciano"
42474,"6-1",310,"1993-08-28","Georgia Tech","G","Shaquille Mason"
42476,"6-4",309,"1991-11-09","Florida","G","Max Garcia"
42477,"6-4",310,"1992-05-03","West Virginia","G","Mark Glowinski"
42480,"6-0",305,"1993-04-28","Clemson","DT","Grady Jarrett"
42485,"6-0",214,"1993-04-29","Penn State","FS","Adrian Amos"
42486,"6-2",243,"1992-03-24","Southern Illinois","TE","MyCole Pruitt"
42488,"5-11",192,"1993-08-18","Memphis","FS","Bobby McCain"
42489,"6-0",191,"1993-11-29","Maryland","WR","Stefon Diggs"
42500,"6-6",260,"1993-01-14","Auburn","TE","C.J. Uzomah"
42503,"6-7",250,"1994-06-04","Penn State","TE","Jesse James"
42511,"6-0",240,"1992-02-01","Rutgers","FB","Michael Burton"
42512,"6-2",245,"1993-08-08","Texas State","MLB","David Mayo"
42514,"6-4",270,"1993-02-17","Delaware","TE","Nick Boyle"
42543,"5-9",197,"1993-01-22","Texas","FS","Quandre Diggs"
42547,"6-6",255,"1992-09-13","Georgia Tech","TE","Darren Waller"
42553,"6-1",298,"03/10/1992","Louisiana-Lafayette","DT","Christian Ringo"
42559,"6-2",305,"1993-10-16","Rice","NT","Christian Covington"
42560,"6-2",307,"1993-07-03","Southern Mississippi","NT","Rakeem Nunez-Roches"
42569,"6-5",310,"1994-08-21","Florida State","T","Bobby Hart"
42587,"6-8",380,"1993-04-13","Florida","T","Trenton Brown"
42589,"6-4",260,"1993-09-16","Texas","TE","Geoff Swaim"
42593,"6-3",220,"1991-12-26","Northwestern","QB","Trevor Siemian"
42654,"6-4",320,"1993-07-26","Louisiana State","T","La'el Collins"
42718,"5-10",197,"1992-04-09","Purdue","RB","Raheem Mostert"
42721,"6-6",263,"1992-04-22","Texas-El Paso","TE","Eric Tomlinson"
42771,"6-2",234,"1993-04-06","Marshall","ILB","Neville Hewitt"
42794,"5-8",190,"1993-04-10","Sacramento State","WR","DeAndre Carter"
42816,"5-11",184,"1991-08-29","Oregon","CB","Troy Hill"
42818,"6-4",209,"1992-02-17","Wisconsin-Whitewater","WR","Jake Kumerow"
42826,"6-1",292,"1992-12-29","Clemson","DT","DeShawn Williams"
42827,"5-11",190,"1993-03-27","Tennessee","CB","Justin Coleman"
42831,"6-1",210,"03/15/1993","Old Dominion","QB","Taylor Heinicke"
42837,"5-11",222,"1993-05-15","Texas","RB","Malcolm Brown"
42883,"6-3",300,"1992-07-10","Georgia","C","David Andrews"
42899,"5-9",180,"1993-01-27","South Carolina","WR","Damiere Byrd"
42901,"6-1",208,"1992-07-25","James Madison","SS","Dean Marlowe"
42929,"6-2",242,"1993-12-07","Montana State","OLB","Alex Singleton"
42935,"5-9",188,"1991-10-23","Rice","CB","Bryce Callahan"
42954,"6-4",310,"1992-04-23","Toledo","C","Greg Mancz"
43092,"6-0",299,"1992-11-23","North Carolina State","DT","T.Y. McGill"
43290,"6-4",223,"1994-10-14","California","QB","Jared Goff"
43291,"6-5",237,"1992-12-30","North Dakota State","QB","Carson Wentz"
43292,"6-5",280,"1995-07-11","Ohio State","OLB","Joey Bosa"
43293,"6-0",228,"1995-07-22","Ohio State","RB","Ezekiel Elliott"
43294,"6-1",208,"1994-10-24","Florida State","CB","Jalen Ramsey"
43295,"6-6",315,"1994-03-18","Notre Dame","T","Ronnie Stanley"
43296,"6-7",300,"1994-03-17","Oregon","DT","DeForest Buckner"
43297,"6-6",308,"1994-08-17","Michigan State","T","Jack Conklin"
43298,"6-5",240,"1992-09-08","Georgia","DE","Leonard Floyd"
43299,"6-1",203,"1995-08-09","Ohio State","CB","Eli Apple"
43301,"6-2",305,"1994-04-02","Louisville","DT","Sheldon Rankins"
43302,"6-5",313,"1994-08-02","Mississippi","T","Laremy Tunsil"
43305,"6-7",318,"1993-08-23","Ohio State","T","Taylor Decker"
43306,"6-1",216,"1995-07-26","Florida","FS","Keanu Neal"
43307,"6-4",309,"1993-05-30","Alabama","C","Ryan Kelly"
43308,"6-3",267,"1994-06-17","Clemson","DE","Shaq Lawson"
43313,"6-0",196,"1992-10-27","Houston","CB","William Jackson"
43314,"6-0",197,"1995-05-01","Miami","CB","Artie Burns"
43316,"6-3",314,"1995-10-04","UCLA","NT","Kenny Clark"
43321,"6-4",275,"1993-11-06","Oklahoma State","DE","Emmanuel Ogbah"
43323,"6-2",245,"1995-06-14","Notre Dame","MLB","Jaylon Smith"
43324,"6-5",250,"1994-12-07","Arkansas","TE","Hunter Henry"
43325,"6-1",244,"1995-09-03","UCLA","ILB","Myles Jack"
43326,"6-6",308,"1994-07-03","Mississippi State","DT","Chris Jones"
43327,"6-1",200,"1993-07-04","Baylor","CB","Xavien Howard"
43329,"5-10",201,"1993-02-10","Oklahoma","WR","Sterling Shepard"
43332,"6-4",314,"1994-05-08","Penn State","NT","Austin Johnson"
43333,"6-5",287,"1994-05-11","Illinois","OLB","Jihad Ward"
43334,"6-3",247,"1994-01-04","Alabama","RB","Derrick Henry"
43335,"6-4",330,"1995-03-21","Alabama","DT","A'Shawn Robinson"
43336,"6-3",212,"1993-03-03","Ohio State","WR","Michael Thomas"
43338,"6-3",306,"1992-12-16","Alabama","DT","Jarran Reed"
43339,"6-4",300,"1993-04-29","Notre Dame","C","Nick Martin"
43341,"6-1",227,"1994-11-04","Louisiana State","ILB","Deion Jones"
43344,"6-2",203,"1994-11-15","Pittsburgh","WR","Tyler Boyd"
43345,"6-3",309,"1992-07-11","Kansas State","G","Cody Whitehair"
43350,"5-11",205,"1994-12-12","Ohio State","SS","Vonn Bell"
43351,"6-1",212,"1993-08-04","Samford","CB","James Bradberry"
43352,"6-4",287,"1992-09-23","Georgia Tech","DE","Adam Gotsis"
43353,"5-11",212,"1993-08-17","Middle Tennessee","FS","Kevin Byard"
43354,"6-7",275,"1993-04-12","Penn State","OLB","Carl Nassib"
43356,"6-2",308,"1995-04-08","Nebraska","DT","Maliek Collins"
43358,"6-2",246,"1995-03-31","Maryland","DE","Yannick Ngakoue"
43361,"6-3",296,"1993-10-22","Florida","DE","Jonathan Bullard"
43362,"6-1",211,"1994-01-26","Alabama","RB","Kenyan Drake"
43366,"6-1",215,"1995-02-22","West Virginia","CB","Daryl Worley"
43367,"6-5",308,"1992-11-18","North Carolina State","G","Joe Thuney"
43368,"6-4",303,"1993-10-29","Oregon State","G","Isaac Seumalo"
43370,"6-4",254,"1994-10-29","Stanford","TE","Austin Hooper"
43373,"5-11",198,"1995-02-13","Virginia Tech","CB","Kendall Fuller"
43376,"6-2",235,"1993-08-20","Utah State","ILB","Nick Vigil"
43378,"6-2",305,"1993-02-07","South Carolina State","DT","Javon Hargrave"
43380,"6-4",235,"1992-12-11","North Carolina State","QB","Jacoby Brissett"
43383,"6-6",261,"1993-03-06","Ohio State","TE","Nick Vannett"
43384,"6-6",310,"1992-08-19","Michigan","G","Graham Glasgow"
43387,"6-2",202,"1993-11-19","Boston College","FS","Justin Simmons"
43388,"6-1",245,"1993-11-06","Wisconsin","ILB","Joe Schobert"
43395,"5-11",199,"1994-01-07","Minnesota","FS","Eric Murray"
43396,"6-1",200,"1993-06-16","Cincinnati","WR","Chris Moore"
43399,"6-6",257,"1993-01-01","Western Kentucky","TE","Tyler Higbee"
43400,"6-2",222,"1993-05-10","Southern Utah","SS","Miles Killebrew"
43404,"6-4",232,"1993-07-01","Minnesota","ILB","De'Vondre Campbell"
43405,"6-3",305,"1994-11-02","Texas","DT","Hassan Ridgeway"
43407,"6-0",212,"1993-08-04","North Carolina State","SS","Juston Burris"
43409,"6-4",300,"1992-11-13","Manitoba, Can.","DT","David Onyemata"
43411,"6-1",328,"1995-03-06","Baylor","DT","Andrew Billings"
43413,"6-0",200,"1993-08-14","Miami","SS","Deon Bush"
43415,"6-1",203,"1994-09-21","Florida","WR","Demarcus Robinson"
43420,"6-2",237,"1994-01-09","Stanford","ILB","Blake Martinez"
43424,"6-2",238,"1993-07-29","Mississippi State","QB","Dak Prescott"
43426,"6-6",296,"1994-06-09","Northwestern","DE","Dean Lowry"
43433,"6-4",306,"1993-04-27","Missouri","C","Connor McGovern"
43435,"6-3",261,"1992-08-15","Grand Valley State","OLB","Matt Judon"
43436,"6-4",291,"1993-03-31","Maryland","DE","Quinton Jefferson"
43439,"6-0",224,"1994-11-02","Indiana","RB","Jordan Howard"
43441,"6-3",310,"1994-01-11","Temple","DT","Matt Ioannidis"
43444,"6-6",298,"1993-03-11","North Dakota State","T","Joe Haeg"
43445,"6-0",217,"1994-02-02","Arkansas","RB","Jonathan Williams"
43447,"6-5",324,"1992-02-06","South Carolina","T","Brandon Shell"
43454,"5-10",185,"1994-03-01","West Alabama","WR","Tyreek Hill"
43455,"6-3",347,"1994-07-01","Clemson","NT","D.J. Reader"
43461,"6-1",198,"1994-10-07","Colorado State","WR","Rashard Higgins"
43474,"6-0",202,"1993-04-13","William &amp; Mary","FS","DeAndre Houston-Carson"
43478,"5-11",196,"1993-12-15","Purdue","CB","Anthony Brown"
43484,"6-5",314,"1993-09-11","San Jose State","G","Wes Schweitzer"
43487,"6-2",234,"1992-11-07","Wisconsin","FB","Derek Watt"
43490,"6-2",209,"1992-09-05","Arkansas","QB","Brandon Allen"
43495,"6-1",189,"1994-08-16","Southern Mississippi","WR","Mike Thomas"
43496,"6-4",235,"1993-04-23","Louisiana Tech","QB","Jeff Driskel"
43497,"6-2",230,"1994-05-16","Eastern Illinois","ILB","Kamu Grugier-Hill"
43503,"6-0",238,"1994-04-22","Houston","ILB","Elandon Roberts"
43508,"6-1",194,"1994-07-29","Arizona","FS","Will Parks"
43510,"6-4",305,"1993-03-15","Illinois","C","Ted Karras"
43522,"6-0",191,"1994-04-06","Louisiana State","CB","Jalen Mills"
43525,"6-1",223,"1994-04-24","Washington","RB","Dwayne Washington"
43533,"6-4",215,"1994-02-11","Clemson","FS","Jayron Kearse"
43534,"6-0",205,"1993-06-02","Illinois","SS","Clayton Fejedelem"
43537,"6-3",300,"1992-06-16","Iowa","C","Austin Blythe"
